titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement à vendre 160 m² à Casablanca Marina,Casablanca,3 700 000 DH,2,2,160,"Appartements, à vendre",Marina,2,1,Neuf,https://www.avito.ma/fr/marina/appartements/Appartement_%C3%A0_vendre_160_m%C2%B2_%C3%A0_Casablanca_Marina_55714361.htm
RAK-GU-1101 - Appartement à vendre à Ouasis,Marrakech,1 100 000 DH,2,2,108,"Appartements, à vendre",Hay Izdihar,NaN,1,NaN,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1101___Appartement_%C3%A0_vendre_%C3%A0_Ouasis_55187227.htm
Appartement à vendre 96 m² à Agadir,Agadir,1 230 000 DH,2,2,96,"Appartements, à vendre",Hay Mohammadi,1,2,6-10 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Agadir_54435593.htm
Grande idéal appartement pour les Vacances Guilez,Marrakech,300 DH /Nuit,NaN,NaN,NaN,"Locations de vacances, à louer",Guéliz,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Grande_id%C3%A9al_appartement_pour_les_Vacances_Guilez__55665056.htm
Appartement meublé en location,Kénitra,5 000 DH,NaN,NaN,1,"Appartements, à louer",Mimosas,NaN,6,NaN,https://www.avito.ma/fr/mimosas/appartements/Appartement_meubl%C3%A9_en_location__54672135.htm
Appartement haut standing à victoria bouskoura,Casablanca,PRIX NON SPÉCIFIÉ,NaN,NaN,119,"Appartements, à vendre",Autre secteur,1,2,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_haut_standing_%C3%A0_victoria_bouskoura_55579379.htm
Appartement à vendre 100 m² à Casablanca,Casablanca,740 000 DH,4,3,100,"Appartements, à vendre",Autre secteur,1,1,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Casablanca_55328964.htm
Appartement Haut Standing à les orchidées,Mohammedia,10 000 DH,NaN,NaN,124,"Appartements, à louer",Autre secteur,1,1,NaN,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_Haut_Standing_%C3%A0_les_orchid%C3%A9es_55686001.htm
Appartement à vendre 74 m² à Marrakech,Marrakech,660 000 DH,2,2,61,"Appartements, à vendre",Route de Casablanca,1,2,6-10 ans,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_Marrakech_54693268.htm
Appartement à vendre 81 m² à Dar Bouazza,Dar Bouazza,1 350 000 DH,2,2,81,"Appartements, à vendre",Toute la ville,1,1,Neuf,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_81_m%C2%B2_%C3%A0_Dar_Bouazza_55714260.htm
Appartement 67 m² à Tanger,Tanger,PRIX NON SPÉCIFIÉ,NaN,NaN,67,"Appartements, à vendre",manar,1,2,Neuf,https://www.avito.ma/fr/manar/appartements/Appartement_67_m%C2%B2_%C3%A0_Tanger_53961997.htm
Appartement vue mer avec piscine à Taghazout,Taghazout,PRIX NON SPÉCIFIÉ,NaN,NaN,NaN,"Locations de vacances, à louer",Toute la ville,NaN,NaN,NaN,https://www.avito.ma/fr/taghazout/locations_de_vacances/Appartement_vue_mer_avec_piscine_%C3%A0_Taghazout_53594031.htm
Appartement 130m² à louer à Californie,Casablanca,8 000 DH,NaN,NaN,130,"Appartements, à louer",Californie,1,2,NaN,https://www.avito.ma/fr/californie/appartements/Appartement_130m%C2%B2_%C3%A0_louer_%C3%A0_Californie__37105953.htm
studio impeccable pour location journalière,Casablanca,500 DH /Nuit,NaN,NaN,NaN,"Locations de vacances, à louer",Racine,NaN,NaN,NaN,https://www.avito.ma/fr/racine/locations_de_vacances/studio_impeccable_pour_location_journali%C3%A8re__54334895.htm
A089 Appartement Meuble a Gauthier,Casablanca,10 000 DH,NaN,NaN,73,"Appartements, à louer",Gauthier,1,2,NaN,https://www.avito.ma/fr/gauthier/appartements/A089_Appartement_Meuble_a_Gauthier_55736837.htm
Appartement meublé a louer aux princesses,Casablanca,7 500 DH,NaN,NaN,52,"Appartements, à louer",Les Princesses,1,4,NaN,https://www.avito.ma/fr/les_princesses/appartements/Appartement_meubl%C3%A9_a_louer_aux_princesses__55736834.htm
RAK-GU-1106 - Appartement à vendre à Izdihar,Marrakech,850 000 DH,2,2,80,"Appartements, à vendre",Hay Izdihar,NaN,1,NaN,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1106___Appartement_%C3%A0_vendre_%C3%A0_Izdihar_55210368.htm
Appartement traversant à Victoria,Bouskoura,1 647 000 DH,3,2,126,"Appartements, à vendre",Victoria,1,Rez de chaussée,6-10 ans,https://www.avito.ma/fr/victoria/appartements/Appartement_traversant_%C3%A0_Victoria__55529721.htm
Appartement 120m² 3ch 3ème Résd Riad Abdelmoumen,Casablanca,12 000 DH,NaN,NaN,120,"Appartements, à louer",Quartier des Hôpitaux,2,3,NaN,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_120m%C2%B2_3ch_3%C3%A8me_R%C3%A9sd_Riad_Abdelmoumen_55154551.htm
Appartement 81 m² avec piscine a gueliz,Marrakech,769 500 DH,2,1,81,"Appartements, à vendre",Guéliz,1,3,NaN,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_81_m%C2%B2_avec_piscine_a_gueliz_33066805.htm
Appartement à vendre 89 m² à El Jadida,El Jadida,680 000 DH,2,1,89,"Appartements, à vendre",Najd,1,1,Neuf,https://www.avito.ma/fr/najd/appartements/Appartement_%C3%A0_vendre_89_m%C2%B2_%C3%A0_El_Jadida_54662356.htm
appartement en location meublé,Casablanca,7 000 DH,2,2,88,"Appartements, à vendre",Beauséjour,1,1,6-10 ans,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/appartement_en_location_meubl%C3%A9__55736827.htm
Joli Appartement à vendre 62M² 2ème ètage,Agadir,PRIX NON SPÉCIFIÉ,NaN,NaN,62,"Appartements, à vendre",Hay Mohammadi,1,2,Neuf,https://www.avito.ma/fr/hay_mohammadi/appartements/Joli_Appartement_%C3%A0_vendre_62M%C2%B2_2%C3%A8me_%C3%A8tage_55666528.htm
appartement avec parking bien sécurisé FAMILLE,Agadir,200 DH /Nuit,NaN,NaN,NaN,"Locations de vacances, à louer",Hay Salam,NaN,NaN,NaN,https://www.avito.ma/fr/hay_salam/locations_de_vacances/appartement_avec_parking_bien_s%C3%A9curis%C3%A9_FAMILLE_54429665.htm
Appartement Centre Marrakech Gueliz,Marrakech,800 DH /Nuit,NaN,NaN,NaN,"Locations de vacances, à louer",Guéliz,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Appartement_Centre_Marrakech_Gueliz__55494263.htm
Appartement à vendre 142 m² à Casablanca,Casablanca,6 000 000 DH,2,3,142,"Appartements, à vendre",Aïn Diab,1,8,1-5 ans,https://www.avito.ma/fr/a%C3%AFn_diab/appartements/Appartement_%C3%A0_vendre_142_m%C2%B2_%C3%A0_Casablanca_50507466.htm
CMN-ME-1600 - Appartement à vendre à 2 Mars,Casablanca,1 750 000 DH,3,2,127,"Appartements, à vendre",2 Mars,NaN,3,NaN,https://www.avito.ma/fr/2_mars/appartements/CMN_ME_1600___Appartement_%C3%A0_vendre_%C3%A0_2_Mars_55657903.htm
Appartement de vacance wifi,Meknès,300 DH /Nuit,NaN,NaN,NaN,"Locations de vacances, à louer",Ville Nouvelle,NaN,NaN,NaN,https://www.avito.ma/fr/ville_nouvelle/locations_de_vacances/Appartement_de_vacance_wifi_44999301.htm
Appartement à vendre 70 m² à Temara,Temara,690 000 DH,2,2,70,"Appartements, à vendre",Skikina,1,1,Neuf,https://www.avito.ma/fr/skikina/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Temara_51977528.htm
appart familiale sans intermédiaire climatisé,Tanger,250 DH /Nuit,NaN,NaN,NaN,"Locations de vacances, à louer",Marjane,NaN,NaN,NaN,https://www.avito.ma/fr/marjane/locations_de_vacances/appart_familiale_sans_interm%C3%A9diaire_climatis%C3%A9_54129972.htm
Appartement colocation 94 m² à Casablanca,Casablanca,1 800 DH,NaN,NaN,94,"Colocations, à louer",Bourgogne,1,3,NaN,https://www.avito.ma/fr/bourgogne/colocations/Appartement_colocation_94_m%C2%B2_%C3%A0_Casablanca_55736817.htm
Appartement à louer 100 m² à Temara,Temara,4 200 DH,NaN,NaN,100,"Appartements, à louer",Centre Ville,1,3,NaN,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_louer_100_m%C2%B2_%C3%A0_Temara_54605895.htm
appartement location courte duree,Tanger,5 500 DH,NaN,NaN,90,"Appartements, à louer",De La Plage,1,4,NaN,https://www.avito.ma/fr/de_la_plage/appartements/appartement_location_courte_duree__55066995.htm
Appartement dernier étage sans vis-à-vis,Casablanca,3 700 000 DH,3,2,142,"Appartements, à vendre",Maârif Extension,1,5,1-5 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_dernier_%C3%A9tage_sans_vis_%C3%A0_vis__55704308.htm
Appartement à vendre 82 m² à Temara,Temara,660 000 DH,2,1,82,"Appartements, à vendre",Centre Ville,1,1,11-20 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Temara_55690519.htm
Appartement à vendre à Had Soualem,Had Soualem,800 000 DH,3,2,119,"Appartements, à vendre",Toute la ville,1,NaN,NaN,https://www.avito.ma/fr/had_soualem/appartements/Appartement_%C3%A0_vendre_%C3%A0_Had_Soualem_55736729.htm
appartement doukala tansift,Khouribga,250 000 DH,2,0,NaN,"Appartements, à vendre",Toute la ville,1,3,6-10 ans,https://www.avito.ma/fr/khouribga/appartements/appartement_doukala_tansift_55736723.htm
Appartement à vendre 100 m² à Dar Bouazza,Dar Bouazza,PRIX NON SPÉCIFIÉ,NaN,NaN,100,"Appartements, à vendre",Toute la ville,1,1,Neuf,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Dar_Bouazza_54833290.htm
appartement titré,Martil,350 000 DH,2,1,60,"Appartements, à vendre",Toute la ville,1,3,Neuf,https://www.avito.ma/fr/martil/appartements/appartement_titr%C3%A9__55736714.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/47M?utm_source=avito_integration&utm_medium=listing_integration
RBA-YA-1046 - Appartement à vendre à Hay Al Fath,Rabat,1 700 000 DH,2,2,106,"Appartements, à vendre",Hay el Fath,NaN,2,NaN,https://www.avito.ma/fr/hay_el_fath/appartements/RBA_YA_1046___Appartement_%C3%A0_vendre_%C3%A0_Hay_Al_Fath_55641300.htm
Appartement en Vente à Bouznika,Bouznika,490 000 DH,2,1,65,"Appartements, à vendre",Autre secteur,1,2,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_en_Vente_%C3%A0_Bouznika_49664981.htm
Appartement à l'achat 94m2 à Bourgogne Ext,Casablanca,1 300 000 DH,2,1,94,"Appartements, à vendre",Bourgogne,1,3,11-20 ans,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_l_achat_94m2_%C3%A0_Bourgogne_Ext__55722201.htm
Appartement à vendre 54 m² à Zenata,Zenata,580 000 DH,1,1,39,"Appartements, à vendre",Toute la ville,1,Rez de chaussée,Neuf,https://www.avito.ma/fr/zenata/appartements/Appartement_%C3%A0_vendre_54_m%C2%B2_%C3%A0_Zenata_55640581.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/478?utm_source=avito_integration&utm_medium=listing_integration
appartement propre à vendre,Casablanca,490 000 DH,2,0,60,"Appartements, à vendre",Oulfa,0,3,6-10 ans,https://www.avito.ma/fr/oulfa/appartements/appartement_propre_%C3%A0_vendre__55736691.htm
Appartement à vendre 4 piece 96 m² à Temara,Temara,1 090 000 DH,3,2,96,"Appartements, à vendre",Wifak,1,2,Neuf,https://www.avito.ma/fr/wifak/appartements/Appartement_%C3%A0_vendre__4_piece_96_m%C2%B2_%C3%A0_Temara_55331622.htm
Appart a vendre avec garage à Bouznika,Bouznika,760 000 DH,4,1,160,"Appartements, à vendre",Autre secteur,2,1,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appart_a_vendre_avec_garage__%C3%A0_Bouznika_52394624.htm
CMN-AS-1635 - Appartement à vendre à Belvédère,Casablanca,1 100 000 DH,2,2,98,"Appartements, à vendre",Belvédère,NaN,1,NaN,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/CMN_AS_1635___Appartement_%C3%A0_vendre_%C3%A0_Belv%C3%A9d%C3%A8re_55561169.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/ywj?utm_source=avito_integration&utm_medium=listing_integration
Appartement 108 m² à Salé,Salé,PRIX NON SPÉCIFIÉ,NaN,NaN,108,"Appartements, à vendre",Toute la ville,1,2,1-5 ans,https://www.avito.ma/fr/sal%C3%A9/appartements/Appartement_108_m%C2%B2_%C3%A0_Sal%C3%A9_55338756.htm
Appartement 213m2 au quartier des hopitaux,Casablanca,3 600 000 DH,3,3,NaN,"Appartements, à vendre",Quartier des Hôpitaux,2,1,NaN,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_213m2_au_quartier_des_hopitaux_55636776.htm
Appartement à vendre 84 m² à Marrakech,Marrakech,10 000 DH,2,2,84,"Appartements, à vendre",Massira 1,1,4,Neuf,https://www.avito.ma/fr/massira_1/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_Marrakech_55660331.htm
appartement à vendre,Fès,970 000 DH,3,2,110,"Appartements, à vendre",Agdal,1,4,6-10 ans,https://www.avito.ma/fr/agdal/appartements/appartement_%C3%A0_vendre__55736633.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/ja3?utm_source=avito_integration&utm_medium=listing_integration
très bel appartement à Prestigia,Marrakech,2 400 000 DH,3,NaN,115,"Appartements, à vendre",Agdal,NaN,2,NaN,https://www.avito.ma/fr/agdal/appartements/tr%C3%A8s_bel_appartement_%C3%A0_Prestigia_55736623.htm
Appartement à vendre 67 m² à Kénitra,Kénitra,390 000 DH,2,1,67,"Appartements, à vendre",Assam,1,2,Neuf,https://www.avito.ma/fr/assam/appartements/Appartement_%C3%A0_vendre_67_m%C2%B2_%C3%A0_K%C3%A9nitra_48757649.htm
Appartement Bouznika شقة عالية الجودة بوزنيقة,Bouznika,560 000 DH,2,1,74,"Appartements, à vendre",Autre secteur,2,1,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_Bouznika_%D8%B4%D9%82%D8%A9_%D8%B9%D8%A7%D9%84%D9%8A%D8%A9_%D8%A7%D9%84%D8%AC%D9%88%D8%AF%D8%A9_%D8%A8%D9%88%D8%B2%D9%86%D9%8A%D9%82%D8%A9_53907110.htm
Appartement à vendre 107 m²,Casablanca,1 230 000 DH,3,2,107,"Appartements, à vendre",Sidi Maarouf,2,3,1-5 ans,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_107_m%C2%B2__54498716.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jhx?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 78 m² à Agadir,Agadir,PRIX NON SPÉCIFIÉ,NaN,NaN,78,"Appartements, à vendre",Tilila,1,1,Neuf,https://www.avito.ma/fr/tilila/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Agadir_54002429.htm
Appartement à vendre 67 m² à Casablanca,Casablanca,620 000 DH,1,1,67,"Appartements, à vendre",Hay Moulay Rachid,1,2,6-10 ans,https://www.avito.ma/fr/hay_moulay_rachid/appartements/Appartement_%C3%A0_vendre_67_m%C2%B2_%C3%A0_Casablanca_55736605.htm
APPARTEMENT À VENDRE À DIOUR JAMAA CENTRE RABAT,Rabat,1 500 000 DH,4,1,116,"Appartements, à vendre",Diour Jamaa,1,7+,21+ ans,https://www.avito.ma/fr/diour_jamaa/appartements/APPARTEMENT_%C3%80_VENDRE_%C3%80_DIOUR_JAMAA_CENTRE_RABAT_54636359.htm
Appartement à vendre 91 m² à Berrechid,Berrechid,570 000 DH,3,2,91,"Appartements, à vendre",Toute la ville,2,2,11-20 ans,https://www.avito.ma/fr/berrechid/appartements/Appartement_%C3%A0_vendre_91_m%C2%B2_%C3%A0_Berrechid_55736600.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/j88?utm_source=avito_integration&utm_medium=listing_integration
Bel Appartement à vendre 96 m² à Bouznika,Urgent,700 000 DH,3,2,96,"Appartements, à vendre",Autre secteur,2,2,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Bel_Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Bouznika_55714960.htm
Appartement a vendre a Menzeh Sidi Allal Bahraoui,Sidi Allal El Bahraoui,PRIX NON SPÉCIFIÉ,NaN,NaN,70,"Appartements, à vendre",Toute la ville,2,1,6-10 ans,https://www.avito.ma/fr/sidi_allal_el_bahraoui/appartements/Appartement_a_vendre_a_Menzeh_Sidi_Allal_Bahraoui_55728744.htm
Appartement à vendre 45 m² à Marrakech,Marrakech,700 000 DH,1,1,45,"Appartements, à vendre",Hivernage,1,5,6-10 ans,https://www.avito.ma/fr/hivernage/appartements/Appartement_%C3%A0_vendre_45_m%C2%B2_%C3%A0_Marrakech_55725771.htm
appartement a vendre,Mohammedia,380 000 DH,2,1,60,"Appartements, à vendre",Nassim,1,4,NaN,https://www.avito.ma/fr/nassim/appartements/appartement_a_vendre__55628254.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/47D?utm_source=avito_integration&utm_medium=listing_integration
Appartement 91m² FranceVille TRAM,Casablanca,1 360 000 DH,2,2,91,"Appartements, à vendre",Franceville,1,2,11-20 ans,https://www.avito.ma/fr/franceville/appartements/Appartement_91m%C2%B2_FranceVille_TRAM_54065931.htm
Appartement 59 m² avec piscine à gueliz,Marrakech,590 000 DH,1,1,59,"Appartements, à vendre",Guéliz,1,1,NaN,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_59_m%C2%B2_avec_piscine_%C3%A0_gueliz_33163327.htm
appartement Neuf a RTE D'imouzzar,Fès,7 270 DH,3,2,106,"Appartements, à vendre",Route d'Immouzere,2,2,Neuf,https://www.avito.ma/fr/route_d'immouzere/appartements/appartement_Neuf_a_RTE_D_imouzzar__55325570.htm
Appartement 100 m² en Vente à Tanger,Tanger,890 000 DH,2,1,92,"Appartements, à vendre",Achennad,1,1,11-20 ans,https://www.avito.ma/fr/achennad/appartements/Appartement_100_m%C2%B2_en_Vente_%C3%A0_Tanger_52112962.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jTO?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 114 m² à Mohammedia,Mohammedia,100 000 DH,3,2,114,"Appartements, à vendre",Autre secteur,1,3,NaN,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_114_m%C2%B2_%C3%A0_Mohammedia_55736569.htm
Appartement à vendre 95 m² à Guéliz - Marrakech,Marrakech,1 400 000 DH,2,2,95,"Appartements, à vendre",Guéliz,1,3,11-20 ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Gu%C3%A9liz___Marrakech_55631349.htm
Appartement à vendre 69 m² à Tanger,Tanger,11 500 DH,2,1,69,"Appartements, à vendre",Ahlane,1,1,Neuf,https://www.avito.ma/fr/ahlane/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Tanger_55685518.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jUt?utm_source=avito_integration&utm_medium=listing_integration
Appartement 59 m² avec piscine à gueliz,Marrakech,590 000 DH,1,1,59,"Appartements, à vendre",Guéliz,1,1,NaN,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_59_m%C2%B2_avec_piscine_%C3%A0_gueliz_33163327.htm
appartement Neuf a RTE D'imouzzar,Fès,7 270 DH,3,2,106,"Appartements, à vendre",Route d'Immouzere,2,2,Neuf,https://www.avito.ma/fr/route_d'immouzere/appartements/appartement_Neuf_a_RTE_D_imouzzar__55325570.htm
Appartement 100 m² en Vente à Tanger,Tanger,890 000 DH,2,1,92,"Appartements, à vendre",Achennad,1,1,11-20 ans,https://www.avito.ma/fr/achennad/appartements/Appartement_100_m%C2%B2_en_Vente_%C3%A0_Tanger_52112962.htm
Appartement à vendre 114 m² à Mohammedia,Mohammedia,100 000 DH,3,2,114,"Appartements, à vendre",Autre secteur,1,3,NaN,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_114_m%C2%B2_%C3%A0_Mohammedia_55736569.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/j84?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 95 m² à Guéliz - Marrakech,Marrakech,1 400 000 DH,2,2,95,"Appartements, à vendre",Guéliz,1,3,11-20 ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Gu%C3%A9liz___Marrakech_55631349.htm
Appartement à vendre 69 m² à Tanger,Tanger,11 500 DH,2,1,69,"Appartements, à vendre",Ahlane,1,1,Neuf,https://www.avito.ma/fr/ahlane/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Tanger_55685518.htm
Appartement 90 m² mhamid 7 1etage,Marrakech,630 000 DH,3,1,90,"Appartements, à vendre",Autre secteur,2,1,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement__90_m%C2%B2_mhamid_7_1etage__55124168.htm
Appartement à vendre 96 m² à Casablanca,Casablanca,990 000 DH,3,2,96,"Appartements, à vendre",Ain Sebaa,2,1,Neuf,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Casablanca_55571056.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jCu?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 96 m² à Tanger,Tanger,1 200 000 DH,3,2,96,"Appartements, à vendre",Marjane,1,3,6-10 ans,https://www.avito.ma/fr/marjane/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Tanger_55166501.htm
Marina Casablanca Appartement à vendre 115 m² à,Casablanca,3 000 000 DH,2,3,115,"Appartements, à vendre",Sidi Belyout,1,2,Neuf,https://www.avito.ma/fr/sidi_belyout/appartements/Marina_Casablanca_Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_53840737.htm
Appartement à vendre 116 m² à Casablanca,Casablanca,PRIX NON SPÉCIFIÉ,NaN,NaN,116,"Appartements, à vendre",Bourgogne,1,2,1-5 ans,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_116_m%C2%B2_%C3%A0_Casablanca_55443189.htm
Bel Appartement à vendre 105 m² 2ème ètage,Agadir,930 000 DH,2,2,105,"Appartements, à vendre",El Houda,1,2,1-5 ans,https://www.avito.ma/fr/el_houda/appartements/Bel_Appartement_%C3%A0_vendre_105_m%C2%B2_2%C3%A8me_%C3%A8tage_55694231.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/4jj?utm_source=avito_integration&utm_medium=listing_integration
RAK-GU-1126 - Appartement à vendre à Izdihar,Marrakech,690 000 DH,2,1,68,"Appartements, à vendre",Hay Izdihar,NaN,3,NaN,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1126___Appartement_%C3%A0_vendre_%C3%A0_Izdihar_55656281.htm
Appartement à vendre 66 m² à Dar Bouazza,Dar Bouazza,595 000 DH,2,2,66,"Appartements, à vendre",Toute la ville,1,2,Neuf,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_66_m%C2%B2_%C3%A0_Dar_Bouazza_55158294.htm
Superbe appartement meublé pour vente,Tanger,1 400 000 DH,2,1,78,"Appartements, à vendre",Branes Kdima,1,5,Neuf,https://www.avito.ma/fr/branes_kdima/appartements/Superbe_appartement_meubl%C3%A9_pour_vente_54267789.htm
Appartement,Taza,370 000 DH,2,1,88,"Appartements, à vendre",Toute la ville,2,4,6-10 ans,https://www.avito.ma/fr/taza/appartements/Appartement_55455529.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jXa?utm_source=avito_integration&utm_medium=listing_integration
Studio-Appartement-Haut-Standing-Gueliz,Marrakech,19 000 DH,2,2,51,"Appartements, à vendre",Guéliz,1,5,Neuf,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Studio_Appartement_Haut_Standing_Gueliz_55203172.htm
Appartement à vendre 60 m² prés de Acima Meknès,Meknès,249 999 DH,2,1,60,"Appartements, à vendre",Autre secteur,1,1,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_pr%C3%A9s_de_Acima_Mekn%C3%A8s_55666279.htm
Appartement à Marina Blanca,Dar Bouazza,1 700 000 DH,2,2,98,"Appartements, à vendre",Toute la ville,1,1,1-5 ans,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_Marina_Blanca_54401684.htm
Appartement à vendre à Jnane Californie Emeraude,Casablanca,2 765 000 DH,3,4,165,"Appartements, à vendre",Aïn Chock,1,4,6-10 ans,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_vendre_%C3%A0_Jnane_Californie_Emeraude__55636883.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jLp?utm_source=avito_integration&utm_medium=listing_integration
Allal Ben Abdellah-Appart rénové en vente .,Rabat,2 200 000 DH,2,2,120,"Appartements, à vendre",Hassan,1,3,Neuf,https://www.avito.ma/fr/hassan/appartements/Allal_Ben_Abdellah_Appart_r%C3%A9nov%C3%A9_en_vente___55630724.htm
Appartement à vendre à Tanger,Tanger,900 000 DH,2,2,69,"Appartements, à vendre",Marjane,1,3,Neuf,https://www.avito.ma/fr/marjane/appartements/Appartement_%C3%A0_vendre__%C3%A0_Tanger_55593925.htm
Appartement 128m Luxe A Maarif Ex,Casablanca,1 450 000 DH,2,2,128,"Appartements, à vendre",Maarif,2,2,11-20 ans,https://www.avito.ma/fr/maarif/appartements/Appartement_128m_Luxe_A_Maarif_Ex__55633616.htm
Appartement à vendre 78 m² à Casablanca,Casablanca,950 000 DH,2,2,78,"Appartements, à vendre",Ain Sebaa,1,4,6-10 ans,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Casablanca_55175180.htm
