titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement chouka à vendre 100 m² à Kénitra,Kénitra,760 000 DH,3,2,100,"Appartements, à vendre",Seyad,1,1,Neuf,https://www.avito.ma/fr/seyad/appartements/Appartement_chouka_%C3%A0_vendre_100_m%C2%B2_%C3%A0_K%C3%A9nitra_55485497.htm
Appartement à vendre 103 m² à Casablanca,Casablanca,950 000 DH,3,2,103,"Appartements, à vendre",Hay Chrifa,2,3,Neuf,https://www.avito.ma/fr/hay_chrifa/appartements/Appartement_%C3%A0_vendre_103_m%C2%B2_%C3%A0_Casablanca_55736143.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/4jD?utm_source=avito_integration&utm_medium=listing_integration
RBA-HA-1041 - Appartement à vendre à L'Ocean,Rabat,1 800 000 DH,3,2,158,"Appartements, à vendre",Quartier de l'Océan,NaN,NaN,NaN,https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/RBA_HA_1041___Appartement_%C3%A0_vendre_%C3%A0_L_Ocean_54878337.htm
Appartement neuf 83 m² à Ain sebaa,Casablanca,959 600 DH,2,2,83,"Appartements, à vendre",Ain Sebaa,1,4,Neuf,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_neuf_83_m%C2%B2_%C3%A0_Ain_sebaa_55095262.htm
Appartement neuf 105 m² à Ain sebaa,Casablanca,1 069 500 DH,3,2,105,"Appartements, à vendre",Ain Sebaa,1,2,Neuf,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_neuf_105_m%C2%B2_%C3%A0_Ain_sebaa_55113064.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jsV?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 64 m² à Casablanca,Casablanca,PRIX NON SPÉCIFIÉ,NaN,NaN,64,"Appartements, à vendre",Sidi Bernoussi,NaN,4,Neuf,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Casablanca_37621456.htm
Appartement à vendre 136 m² à El Jadida,El Jadida,1 280 000 DH,3,1,136,"Appartements, à vendre",Autre secteur,2,5,6-10 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_136_m%C2%B2_%C3%A0_El_Jadida_55266206.htm
bel appartement à rénover,Rabat,2 200 000 DH,3,2,128,"Appartements, à vendre",Hay Riad,1,3,NaN,https://www.avito.ma/fr/hay_riad/appartements/bel_appartement_%C3%A0_r%C3%A9nover__55667004.htm
