titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement à vendre 70 m² à Tanger,Tanger,840 000 DH,1,2,70,"Appartements, à vendre",Tanja Balia,1,4,Neuf,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Tanger_55181609.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/j86?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 98 m² à Casablanca,Casablanca,1 000 000 DH,2,2,98,"Appartements, à vendre",Ain Sebaa,2,Rez de chaussée,Neuf,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Casablanca_54215645.htm
Appartement 2 Chambres Haut Standing À Gueliz,Marrakech,1 600 000 DH,2,2,75,"Appartements, à vendre",Guéliz,1,4,Neuf,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_2_Chambres_Haut_Standing_%C3%80_Gueliz_55544393.htm
Appartement à vendre 140 m² à Tanger,Tanger,PRIX NON SPÉCIFIÉ,3,2,140,"Appartements, à vendre",Tanja Balia,1,5,Neuf,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_Tanger_54815300.htm
Appartement de 50m² à Vendre à Tanger,Tanger,350 000 DH,2,1,49,"Appartements, à vendre",Aouama Gharbia,1,1,Neuf,https://www.avito.ma/fr/aouama_gharbia/appartements/Appartement_de_50m%C2%B2_%C3%A0_Vendre_%C3%A0_Tanger_53397026.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jX5?utm_source=avito_integration&utm_medium=listing_integration
Appartement style Riad,Rabat,2 650 000 DH,2,3,145,"Appartements, à vendre",Agdal,3,Rez de chaussée,21+ ans,https://www.avito.ma/fr/agdal/appartements/Appartement_style_Riad_55659298.htm
Appartement à Marina Blanca,Dar Bouazza,1 700 000 DH,2,2,98,"Appartements, à vendre",Toute la ville,1,1,1-5 ans,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_Marina_Blanca_54401684.htm
Luxueux appartement avec vue panoramique sur mer,Tanger,PRIX NON SPÉCIFIÉ,2,2,90,"Appartements, à vendre",M'nar,1,2,Neuf,https://www.avito.ma/fr/m'nar/appartements/Luxueux_appartement__avec_vue_panoramique_sur__mer_55651632.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/j5H?utm_source=avito_integration&utm_medium=listing_integration
Appartement style Riad,Rabat,2 650 000 DH,2,3,145,"Appartements, à vendre",Agdal,3,Rez de chaussée,21+ ans,https://www.avito.ma/fr/agdal/appartements/Appartement_style_Riad_55659298.htm
Appartement à Marina Blanca,Dar Bouazza,1 700 000 DH,2,2,98,"Appartements, à vendre",Toute la ville,1,1,1-5 ans,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_Marina_Blanca_54401684.htm
Luxueux appartement avec vue panoramique sur mer,Tanger,PRIX NON SPÉCIFIÉ,2,2,90,"Appartements, à vendre",M'nar,1,2,Neuf,https://www.avito.ma/fr/m'nar/appartements/Luxueux_appartement__avec_vue_panoramique_sur__mer_55651632.htm
apparemment à vendre,Casablanca,PRIX NON SPÉCIFIÉ,2,1,72,"Appartements, à vendre",Oulfa,1,1,6-10 ans,https://www.avito.ma/fr/oulfa/appartements/apparemment_%C3%A0_vendre__55717425.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/j80?utm_source=avito_integration&utm_medium=listing_integration
RAK-GU-1101 - Appartement à vendre à Ouasis,Marrakech,1 100 000 DH,2,2,108,"Appartements, à vendre",Hay Izdihar,NaN,1,NaN,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1101___Appartement_%C3%A0_vendre_%C3%A0_Ouasis_55187227.htm
Appartement 89m² à Tanger TANJA BALIA,Tanger,850 000 DH,3,1,89,"Appartements, à vendre",Tanja Balia,1,5,Neuf,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_89m%C2%B2_%C3%A0_Tanger_TANJA_BALIA_55669670.htm
Appartement 2 chambres à vendre vue piscine,El Mansouria,1 189 000 DH,2,1,103,"Appartements, à vendre",Toute la ville,1,Rez de chaussée,6-10 ans,https://www.avito.ma/fr/el_mansouria/appartements/Appartement_2_chambres_%C3%A0_vendre_vue_piscine_55725184.htm
Appartement à vendre au Quartier des hopitaux Casa,Casablanca,1 300 000 DH,2,2,117,"Appartements, à vendre",Quartier des Hôpitaux,1,Rez de chaussée,Neuf,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_%C3%A0_vendre_au_Quartier_des_hopitaux_Casa_53688567.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/j0a?utm_source=avito_integration&utm_medium=listing_integration
